lookup,School DBN,SchoolName,SchoolType,SchoolLevel,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR
01M5152016Common Core Geometry,01M515,Lower East Side Preparatory High School,Transfer School,High school,Common Core Geometry,2016,95,74.0,22,23.2,73,76.8,30,31.6,68,71.6
01M5152017Common Core Geometry,01M515,Lower East Side Preparatory High School,Transfer School,High school,Common Core Geometry,2017,124,73.7,26,21.0,98,79.0,47,37.9,82,66.1
01M5152015English,01M515,Lower East Side Preparatory High School,Transfer School,High school,English,2015,139,67.4,42,30.2,97,69.8,22,15.8,50,36.0
01M5152016English,01M515,Lower East Side Preparatory High School,Transfer School,High school,English,2016,1,s,s,s,s,s,s,s,na,na
01M5152015Geometry,01M515,Lower East Side Preparatory High School,Transfer School,High school,Geometry,2015,111,80.6,6,5.4,105,94.6,62,55.9,62,55.9
01M5152016Geometry,01M515,Lower East Side Preparatory High School,Transfer School,High school,Geometry,2016,29,77.6,5,17.2,24,82.8,15,51.7,15,51.7
01M5152015Global History and Geography,01M515,Lower East Side Preparatory High School,Transfer School,High school,Global History and Geography,2015,197,77.1,37,18.8,160,81.2,100,50.8,na,na
01M5152016Global History and Geography,01M515,Lower East Side Preparatory High School,Transfer School,High school,Global History and Geography,2016,163,75.3,30,18.4,133,81.6,73,44.8,na,na
01M5152017Global History and Geography,01M515,Lower East Side Preparatory High School,Transfer School,High school,Global History and Geography,2017,190,71.6,61,32.1,129,67.9,66,34.7,na,na
01M5152015Integrated Algebra,01M515,Lower East Side Preparatory High School,Transfer School,High school,Integrated Algebra,2015,98,76.9,14,14.3,84,85.7,48,49.0,48,49.0
01M5152015Living Environment,01M515,Lower East Side Preparatory High School,Transfer School,High school,Living Environment,2015,146,80.0,10,6.8,136,93.2,86,58.9,na,na
01M5152016Living Environment,01M515,Lower East Side Preparatory High School,Transfer School,High school,Living Environment,2016,129,78.4,18,14.0,111,86.0,76,58.9,na,na
01M5152017Living Environment,01M515,Lower East Side Preparatory High School,Transfer School,High school,Living Environment,2017,131,77.7,16,12.2,115,87.8,71,54.2,na,na
01M5152015Physical Settings/Chemistry,01M515,Lower East Side Preparatory High School,Transfer School,High school,Physical Settings/Chemistry,2015,9,77.7,0,0.0,9,100.0,3,33.3,na,na
01M5152016Physical Settings/Chemistry,01M515,Lower East Side Preparatory High School,Transfer School,High school,Physical Settings/Chemistry,2016,5,s,s,s,s,s,s,s,na,na
01M5152015Physical Settings/Earth Science,01M515,Lower East Side Preparatory High School,Transfer School,High school,Physical Settings/Earth Science,2015,100,74.2,29,29.0,71,71.0,39,39.0,na,na
01M5152016Physical Settings/Earth Science,01M515,Lower East Side Preparatory High School,Transfer School,High school,Physical Settings/Earth Science,2016,101,81.0,11,10.9,90,89.1,68,67.3,na,na
01M5152017Physical Settings/Earth Science,01M515,Lower East Side Preparatory High School,Transfer School,High school,Physical Settings/Earth Science,2017,106,84.0,5,4.7,101,95.3,78,73.6,na,na
01M5152015U.S. History and Government,01M515,Lower East Side Preparatory High School,Transfer School,High school,U.S. History and Government,2015,171,80.8,15,8.8,156,91.2,107,62.6,na,na
01M5152016U.S. History and Government,01M515,Lower East Side Preparatory High School,Transfer School,High school,U.S. History and Government,2016,157,79.1,22,14.0,135,86.0,91,58.0,na,na
01M5152017U.S. History and Government,01M515,Lower East Side Preparatory High School,Transfer School,High school,U.S. History and Government,2017,136,81.2,15,11.0,121,89.0,93,68.4,na,na
01M5392015Algebra2/Trigonometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Algebra2/Trigonometry,2015,180,80.7,21,11.7,159,88.3,108,60.0,108,60.0
01M5392016Algebra2/Trigonometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Algebra2/Trigonometry,2016,175,80.6,23,13.1,152,86.9,102,58.3,102,58.3
01M5392015Common Core Algebra,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Algebra,2015,74,78.3,6,8.1,68,91.9,34,45.9,67,90.5
01M5392016Common Core Algebra,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Algebra,2016,207,83.1,9,4.3,198,95.7,159,76.8,193,93.2
01M5392017Common Core Algebra,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Algebra,2017,179,84.8,12,6.7,167,93.3,147,82.1,166,92.7
01M5392016Common Core Algebra2,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Algebra2,2016,162,76.2,11,6.8,151,93.2,53,32.7,151,93.2
01M5392017Common Core Algebra2,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Algebra2,2017,118,80.0,6,5.1,112,94.9,75,63.6,112,94.9
01M5392015Common Core English,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core English,2015,80,93.5,1,1.3,79,98.8,76,95.0,78,97.5
01M5392016Common Core English,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core English,2016,164,87.7,0,0.0,164,100.0,152,92.7,157,95.7
01M5392017Common Core English,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core English,2017,62,88.1,0,0.0,62,100.0,56,90.3,59,95.2
01M5392015Common Core Geometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Geometry,2015,278,79.0,18,6.5,260,93.5,133,47.8,240,86.3
01M5392016Common Core Geometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Geometry,2016,116,80.9,3,2.6,113,97.4,74,63.8,107,92.2
01M5392017Common Core Geometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Common Core Geometry,2017,165,79.3,19,11.5,146,88.5,97,58.8,139,84.2
01M5392015English,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,English,2015,197,89.6,2,1.0,195,99.0,182,92.4,191,97.0
01M5392016English,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,English,2016,3,s,s,s,s,s,s,s,na,na
01M5392015Geometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Geometry,2015,285,83.6,8,2.8,277,97.2,189,66.3,189,66.3
01M5392016Geometry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Geometry,2016,6,66.3,3,50.0,3,50.0,0,0.0,0,0.0
01M5392015Global History and Geography,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Global History and Geography,2015,184,87.2,6,3.3,178,96.7,151,82.1,na,na
01M5392016Global History and Geography,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Global History and Geography,2016,140,88.5,6,4.3,134,95.7,120,85.7,na,na
01M5392017Global History and Geography,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Global History and Geography,2017,148,90.6,3,2.0,145,98.0,134,90.5,na,na
01M6502016Living Environment,01M650,Cascades High School,Transfer School,High school,Living Environment,2016,30,65.7,10,33.3,20,66.7,3,10.0,na,na
01M5392015Integrated Algebra,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Integrated Algebra,2015,23,87.7,0,0.0,23,100.0,21,91.3,21,91.3
01M5392015Living Environment,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Living Environment,2015,268,87.3,3,1.1,265,98.9,234,87.3,na,na
01M5392016Living Environment,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Living Environment,2016,236,88.1,2,0.8,234,99.2,214,90.7,na,na
01M5392017Living Environment,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Living Environment,2017,122,80.9,12,9.8,110,90.2,91,74.6,na,na
01M5392015Physical Settings/Chemistry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Chemistry,2015,172,80.1,11,6.4,161,93.6,93,54.1,na,na
01M5392016Physical Settings/Chemistry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Chemistry,2016,121,78.0,12,9.9,109,90.1,56,46.3,na,na
01M5392017Physical Settings/Chemistry,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Chemistry,2017,116,80.5,7,6.0,109,94.0,62,53.4,na,na
01M5392015Physical Settings/Earth Science,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Earth Science,2015,102,87.4,0,0.0,102,100.0,87,85.3,na,na
01M5392016Physical Settings/Earth Science,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Earth Science,2016,136,89.5,4,2.9,132,97.1,118,86.8,na,na
01M5392017Physical Settings/Earth Science,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Earth Science,2017,118,89.9,3,2.5,115,97.5,105,89.0,na,na
01M5392015Physical Settings/Physics,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Physics,2015,156,84.1,14,9.0,142,91.0,120,76.9,na,na
01M5392016Physical Settings/Physics,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Physics,2016,143,76.1,30,21.0,113,79.0,75,52.4,na,na
01M5392017Physical Settings/Physics,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,Physical Settings/Physics,2017,121,78.5,20,16.5,101,83.5,66,54.5,na,na
01M5392015U.S. History and Government,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,U.S. History and Government,2015,285,91.0,5,1.8,280,98.2,263,92.3,na,na
01M5392016U.S. History and Government,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,U.S. History and Government,2016,264,90.9,4,1.5,260,98.5,242,91.7,na,na
01M5392017U.S. History and Government,01M539,"New Explorations into Science, Technology and Math",General Academic,K-12 all grades,U.S. History and Government,2017,214,92.3,3,1.4,211,98.6,201,93.9,na,na
01M6502016Algebra2/Trigonometry,01M650,Cascades High School,Transfer School,High school,Algebra2/Trigonometry,2016,1,s,s,s,s,s,s,s,na,na
01M6502015Common Core Algebra,01M650,Cascades High School,Transfer School,High school,Common Core Algebra,2015,3,s,s,s,s,s,s,s,na,na
01M6502016Common Core Algebra,01M650,Cascades High School,Transfer School,High school,Common Core Algebra,2016,39,61.4,26,66.7,13,33.3,1,2.6,4,10.3
01M6502017Common Core Algebra,01M650,Cascades High School,Transfer School,High school,Common Core Algebra,2017,50,64.1,20,40.0,30,60.0,3,6.0,16,32.0
01M6502015Common Core English,01M650,Cascades High School,Transfer School,High school,Common Core English,2015,16,75.3,2,12.5,14,87.5,4,25.0,11,68.8
01M6502016Common Core English,01M650,Cascades High School,Transfer School,High school,Common Core English,2016,70,70.6,15,21.4,55,78.6,21,30.0,28,40.0
01M6502017Common Core English,01M650,Cascades High School,Transfer School,High school,Common Core English,2017,70,65.2,23,32.9,47,67.1,17,24.3,28,40.0
01M6502016Common Core Geometry,01M650,Cascades High School,Transfer School,High school,Common Core Geometry,2016,3,s,s,s,s,s,s,s,na,na
01M6502017Common Core Geometry,01M650,Cascades High School,Transfer School,High school,Common Core Geometry,2017,8,48.0,7,87.5,1,12.5,0,0.0,0,0.0
01M6502015English,01M650,Cascades High School,Transfer School,High school,English,2015,88,73.8,14,15.9,74,84.1,27,30.7,44,50.0
01M6502016English,01M650,Cascades High School,Transfer School,High school,English,2016,25,67.6,10,40.0,15,60.0,5,20.0,8,32.0
01M6502015Geometry,01M650,Cascades High School,Transfer School,High school,Geometry,2015,2,s,s,s,s,s,s,s,na,na
01M6502016Geometry,01M650,Cascades High School,Transfer School,High school,Geometry,2016,3,s,s,s,s,s,s,s,na,na
01M6502015Global History and Geography,01M650,Cascades High School,Transfer School,High school,Global History and Geography,2015,80,65.9,26,32.5,54,67.5,9,11.3,na,na
01M6502016Global History and Geography,01M650,Cascades High School,Transfer School,High school,Global History and Geography,2016,90,62.1,42,46.7,48,53.3,9,10.0,na,na
01M6502017Global History and Geography,01M650,Cascades High School,Transfer School,High school,Global History and Geography,2017,69,64.5,31,44.9,38,55.1,9,13.0,na,na
01M6502015Integrated Algebra,01M650,Cascades High School,Transfer School,High school,Integrated Algebra,2015,58,66.8,20,34.5,38,65.5,6,10.3,6,10.3
01M6502016Integrated Algebra,01M650,Cascades High School,Transfer School,High school,Integrated Algebra,2016,37,65.7,14,37.8,23,62.2,5,13.5,5,13.5
01M6502015Living Environment,01M650,Cascades High School,Transfer School,High school,Living Environment,2015,37,67.1,9,24.3,28,75.7,3,8.1,na,na
01M6502017Living Environment,01M650,Cascades High School,Transfer School,High school,Living Environment,2017,33,63.4,16,48.5,17,51.5,0,0.0,na,na
01M6502015Physical Settings/Earth Science,01M650,Cascades High School,Transfer School,High school,Physical Settings/Earth Science,2015,1,s,s,s,s,s,s,s,na,na
01M6502016Physical Settings/Earth Science,01M650,Cascades High School,Transfer School,High school,Physical Settings/Earth Science,2016,5,s,s,s,s,s,s,s,na,na
01M6502017Physical Settings/Earth Science,01M650,Cascades High School,Transfer School,High school,Physical Settings/Earth Science,2017,13,55.9,9,69.2,4,30.8,0,0.0,na,na
01M6502015U.S. History and Government,01M650,Cascades High School,Transfer School,High school,U.S. History and Government,2015,86,73.3,14,16.3,72,83.7,27,31.4,na,na
01M6502016U.S. History and Government,01M650,Cascades High School,Transfer School,High school,U.S. History and Government,2016,71,73.4,16,22.5,55,77.5,27,38.0,na,na
01M6502017U.S. History and Government,01M650,Cascades High School,Transfer School,High school,U.S. History and Government,2017,68,73.1,14,20.6,54,79.4,23,33.8,na,na
01M6962015Common Core Algebra,01M696,Bard High School Early College,General Academic,High school,Common Core Algebra,2015,66,72.5,3,4.5,63,95.5,6,9.1,48,72.7
01M6962016Common Core Algebra,01M696,Bard High School Early College,General Academic,High school,Common Core Algebra,2016,57,81.5,0,0.0,57,100.0,40,70.2,56,98.2
01M6962017Common Core Algebra,01M696,Bard High School Early College,General Academic,High school,Common Core Algebra,2017,35,79.6,2,5.7,33,94.3,24,68.6,31,88.6
01M6962015Common Core English,01M696,Bard High School Early College,General Academic,High school,Common Core English,2015,122,91.7,0,0.0,122,100.0,117,95.9,120,98.4
01M6962016Common Core English,01M696,Bard High School Early College,General Academic,High school,Common Core English,2016,133,89.9,0,0.0,133,100.0,124,93.2,132,99.2
01M6962017Common Core English,01M696,Bard High School Early College,General Academic,High school,Common Core English,2017,150,89.8,1,0.7,149,99.3,142,94.7,148,98.7
01M6962016Common Core Geometry,01M696,Bard High School Early College,General Academic,High school,Common Core Geometry,2016,1,s,s,s,s,s,s,s,na,na
01M6962017Common Core Geometry,01M696,Bard High School Early College,General Academic,High school,Common Core Geometry,2017,1,s,s,s,s,s,s,s,na,na
01M6962015English,01M696,Bard High School Early College,General Academic,High school,English,2015,1,s,s,s,s,s,s,s,na,na
01M6962015Global History and Geography,01M696,Bard High School Early College,General Academic,High school,Global History and Geography,2015,107,83.4,5,4.7,102,95.3,72,67.3,na,na
01M6962016Global History and Geography,01M696,Bard High School Early College,General Academic,High school,Global History and Geography,2016,158,82.9,2,1.3,156,98.7,105,66.5,na,na
01M6962017Global History and Geography,01M696,Bard High School Early College,General Academic,High school,Global History and Geography,2017,153,86.5,3,2.0,150,98.0,120,78.4,na,na
01M6962016Living Environment,01M696,Bard High School Early College,General Academic,High school,Living Environment,2016,1,s,s,s,s,s,s,s,na,na
01M6962017Living Environment,01M696,Bard High School Early College,General Academic,High school,Living Environment,2017,5,s,s,s,s,s,s,s,na,na
01M6962015Physical Settings/Chemistry,01M696,Bard High School Early College,General Academic,High school,Physical Settings/Chemistry,2015,129,79.2,6,4.7,123,95.3,60,46.5,na,na
01M6962016Physical Settings/Chemistry,01M696,Bard High School Early College,General Academic,High school,Physical Settings/Chemistry,2016,138,78.3,6,4.3,132,95.7,62,44.9,na,na
01M6962017Physical Settings/Chemistry,01M696,Bard High School Early College,General Academic,High school,Physical Settings/Chemistry,2017,157,76.1,9,5.7,148,94.3,53,33.8,na,na
01M6962015Physical Settings/Physics,01M696,Bard High School Early College,General Academic,High school,Physical Settings/Physics,2015,1,s,s,s,s,s,s,s,na,na
01M6962015U.S. History and Government,01M696,Bard High School Early College,General Academic,High school,U.S. History and Government,2015,133,83.9,4,3.0,129,97.0,92,69.2,na,na
01M6962016U.S. History and Government,01M696,Bard High School Early College,General Academic,High school,U.S. History and Government,2016,143,88.0,2,1.4,141,98.6,122,85.3,na,na
